order_id,customer_id,order_date,promised_delivery_time,actual_delivery_time,delivery_status,order_total,payment_method,delivery_partner_id,store_id,customer_name,customer_segment,product_id,product_name,category,price,rating,feedback_text,feedback_category,sentiment,Date,Value_Type,Value,delivery_time_minutes,distance_km,reasons_if_delayed,Products.product_id,img,Customer.area
1961864118,30065862,2024-07-17 08:34:01.000,2024-07-17 08:52:01.000,2024-07-17 08:47:01.000,"On Time",3197.07,"Cash",63230,4771,"Urishilla Hegde","Regular",642612,"Pet Treats","Pet Care",517.03,4,"It was okay, nothing special.","Delivery","Neutral",2024-07-17 00:00:00.000,"Quantity",3,-5,0.96,"",642612,"https://i.postimg.cc/FRMdmQjx/pet-food.png","Allahabad"
6340807810,57537308,2024-07-12 00:41:44.000,2024-07-12 00:51:44.000,2024-07-12 00:47:44.000,"On Time",2726.23,"Cash",60222,3415,"Ayush Buch","New",673058,"Cough Syrup","Pharmacy",765.76,4,"The product met my expectations.","Product Quality","Neutral",2024-07-12 00:00:00.000,"Quantity",3,-4,3.6,"",673058,"https://i.postimg.cc/W3x7FCP9/pharmacy.png","Jorhat"
7256212429,28350645,2024-03-16 22:00:36.000,2024-03-16 22:15:36.000,2024-03-16 22:15:36.000,"On Time",727.95,"Cash",87815,8094,"Alka Srinivasan","Inactive",217710,"Eggs","Dairy & Breakfast",58.59,4,"The product met my expectations.","App Experience","Neutral",2024-03-16 00:00:00.000,"Quantity",3,0,1.74,"",217710,"https://i.postimg.cc/X7wFjX1B/food.png","Ratlam"
8919999754,8395610,2023-12-07 13:24:38.000,2023-12-07 13:44:38.000,2023-12-07 13:44:38.000,"On Time",2554.62,"UPI",49856,2090,"Ranveer Subramanian","Inactive",564692,"Cat Food","Pet Care",215.65,4,"It was okay, nothing special.","Customer Service","Neutral",2023-12-07 00:00:00.000,"Quantity",3,0,4.16,"",564692,"https://i.postimg.cc/FRMdmQjx/pet-food.png","Erode"
962864152,24357425,2024-07-19 06:35:56.000,2024-07-19 06:55:56.000,2024-07-19 06:50:56.000,"On Time",1662.02,"Card",58963,2048,"Wriddhish Munshi","Inactive",455083,"Butter","Dairy & Breakfast",959.01,4,"Nothing to complain about, but nothing exceptional.","Customer Service","Neutral",2024-07-19 00:00:00.000,"Quantity",3,-5,3.81,"",455083,"https://i.postimg.cc/X7wFjX1B/food.png","Farrukhabad"
7111337755,10524732,2023-05-06 05:52:44.000,2023-05-06 06:07:44.000,2023-05-06 06:04:44.000,"On Time",1550.71,"Cash",84833,4083,"Bhavna Ramesh","Regular",888807,"Bread","Dairy & Breakfast",230.58,4,"Average experience, could improve.","Customer Service","Neutral",2023-05-06 00:00:00.000,"Quantity",3,-3,3.44,"",888807,"https://i.postimg.cc/X7wFjX1B/food.png","Rajahmundry"
5868326481,37556526,2024-03-15 21:07:07.000,2024-03-15 21:24:07.000,2024-03-15 21:21:07.000,"On Time",1962.35,"Wallet",94140,3106,"Anjali Varkey","Inactive",53833,"Rice","Grocery & Staples",134.69,4,"Nothing to complain about, but nothing exceptional.","Product Quality","Neutral",2024-03-15 00:00:00.000,"Quantity",3,-3,2.8,"",53833,"https://i.postimg.cc/jSc7fmbs/grocery.png","Farrukhabad"
5003387344,26592009,2024-06-23 10:53:47.000,2024-06-23 11:05:47.000,2024-06-23 11:00:47.000,"On Time",2475.69,"Wallet",21004,7477,"Michael Dhingra","Premium",67197,"Butter","Dairy & Breakfast",552.2,4,"Nothing to complain about, but nothing exceptional.","Delivery","Neutral",2024-06-23 00:00:00.000,"Quantity",3,-5,4.52,"",67197,"https://i.postimg.cc/X7wFjX1B/food.png","Adoni"
7335148205,85435560,2023-06-30 01:54:07.000,2023-06-30 02:08:07.000,2023-06-30 02:04:07.000,"On Time",5814.13,"Wallet",54244,6440,"Viraj Nair","Inactive",123983,"Cough Syrup","Pharmacy",785.67,4,"Delivery was fine, but the product could be better.","Delivery","Neutral",2023-06-30 00:00:00.000,"Quantity",3,-4,1.6,"",123983,"https://i.postimg.cc/W3x7FCP9/pharmacy.png","Ludhiana"
6896732047,62068277,2024-04-18 17:58:30.000,2024-04-18 18:08:30.000,2024-04-18 18:06:30.000,"On Time",321.33,"Cash",29664,8118,"Zarna Shetty","Regular",187399,"Frozen Pizza","Instant & Frozen Food",53.49,4,"Nothing to complain about, but nothing exceptional.","Delivery","Neutral",2024-04-18 00:00:00.000,"Quantity",3,-2,4.18,"",187399,"https://i.postimg.cc/1RVwdvpH/ice-cream.png","Hosur"
8681711802,36833857,2023-10-07 07:03:38.000,2023-10-07 07:22:38.000,2023-10-07 07:17:38.000,"On Time",3724.44,"UPI",50,2940,"Omya Banik","Premium",56589,"Vitamins","Pharmacy",517.77,4,"Nothing to complain about, but nothing exceptional.","Product Quality","Neutral",2023-10-07 00:00:00.000,"Quantity",3,-5,4.75,"",56589,"https://i.postimg.cc/W3x7FCP9/pharmacy.png","Silchar"
1458051433,50760752,2024-04-26 09:14:56.000,2024-04-26 09:30:56.000,2024-04-26 09:26:56.000,"On Time",1055.18,"UPI",61040,7426,"Yug Varughese","New",57405,"Baby Food","Baby Care",607.67,4,"The product met my expectations.","App Experience","Neutral",2024-04-26 00:00:00.000,"Quantity",3,-4,2.75,"",57405,"https://i.postimg.cc/k55tvsJW/feeding.png","Maheshtala"
